#,Date,Round_Type,Invitations issued,Score
278,12/21/2023,Agriculture and agri-food occupations (2023-1),400,386
277,12/20/2023,Transport occupations (2023-1),670,435
276,12/19/2023,Trade occupations (2023-1),1000,425
275,12/18/2023,General,1325,542
274,12/8/2023,STEM occupations (2023-1),5900,481
273,12/7/2023,French language proficiency (2023-1),1000,470
272,12/6/2023,General,4750,561
271,10/26/2023,Healthcare occupations (2023-1),3600,431
270,10/25/2023,French language proficiency (2023-1),300,486
269,10/24/2023,Provincial Nominee Program,1548,776
268,10/10/2023,No Program Specified,3725,500
267,9/28/2023,Agriculture and agri-food occupations (2023-1),600,354
266,9/27/2023,French language proficiency (2023-1),500,472
265,9/26/2023,No Program Specified,3000,504
264,9/20/2023,Transport occupations (2023-1),1000,435
263,9/19/2023,No Program Specified,3200,531
262,8/15/2023,No Program Specified,4300,496
261,8/3/2023,Trade occupations (2023-1),1500,388
260,8/2/2023,French language proficiency (2023-1),800,435
259,8/1/2023,No Program Specified,2000,517
258,7/12/2023,French language proficiency (2023-1),3800,375
257,7/11/2023,No Program Specified,800,505
256,7/7/2023,French language proficiency (2023-1),2300,439
255,7/6/2023,Healthcare occupations (2023-1),1500,463
254,7/5/2023,STEM occupations (2023-1),500,486
253,7/4/2023,No Program Specified,700,511
252,6/28/2023,Healthcare occupations (2023-1),500,476
251,6/27/2023,No Program Specified,4300,486
250,6/8/2023,No Program Specified,4800,486
249,5/24/2023,No Program Specified,4800,488
248,5/10/2023,Provincial Nominee Program,589,691
247,4/26/2023,No Program Specified,3500,483
246,4/12/2023,No Program Specified,3500,486
245,3/29/2023,No Program Specified,7000,481
244,3/23/2023,No Program Specified,7000,484
243,3/15/2023,No Program Specified,7000,490
242,3/1/2023,Provincial Nominee Program,667,748
241,2/15/2023,Provincial Nominee Program,699,791
240,2/2/2023,Federal Skilled Worker,3300,489
239,2/1/2023,Provincial Nominee Program,893,733
238,1/18/2023,No Program Specified,5500,490
237,1/11/2023,No Program Specified,5500,507
236,11/23/2022,No Program Specified,4750,491
235,11/9/2022,No Program Specified,4750,494
234,10/26/2022,No Program Specified,4750,496
233,10/12/2022,No Program Specified,4250,500
232,9/28/2022,No Program Specified,3750,504
231,9/14/2022,No Program Specified,3250,510
230,8/31/2022,No Program Specified,2750,516
229,8/17/2022,No Program Specified,2250,525
228,8/3/2022,No Program Specified,2000,533
227,7/20/2022,No Program Specified,1750,542
226,7/6/2022,No Program Specified,1500,557
225,6/22/2022,Provincial Nominee Program,636,752
224,6/8/2022,Provincial Nominee Program,932,796
223,5/25/2022,Provincial Nominee Program,590,741
222,5/11/2022,Provincial Nominee Program,545,753
221,4/27/2022,Provincial Nominee Program,829,772
220,4/13/2022,Provincial Nominee Program,787,782
219,3/30/2022,Provincial Nominee Program,919,785
218,3/16/2022,Provincial Nominee Program,924,754
217,3/2/2022,Provincial Nominee Program,1047,761
216,2/16/2022,Provincial Nominee Program,1082,710
215,2/2/2022,Provincial Nominee Program,1070,674
214,1/19/2022,Provincial Nominee Program,1036,745
213,1/5/2022,Provincial Nominee Program,392,808
212,12/22/2021,Provincial Nominee Program,746,720
211,12/10/2021,Provincial Nominee Program,1032,698
210,11/24/2021,Provincial Nominee Program,613,737
209,11/10/2021,Provincial Nominee Program,775,685
208,10/27/2021,Provincial Nominee Program,681,744
207,10/13/2021,Provincial Nominee Program,681,720
206,9/29/2021,Provincial Nominee Program,761,742
205,9/15/2021,Provincial Nominee Program,521,732
204,9/14/2021,Canadian Experience Class,2000,462
203,9/1/2021,Provincial Nominee Program,635,764
202,8/19/2021,Canadian Experience Class,3000,403
201,8/18/2021,Provincial Nominee Program,463,751
200,8/5/2021,Canadian Experience Class,3000,404
199,8/4/2021,Provincial Nominee Program,512,760
198,7/22/2021,Canadian Experience Class,4500,357
197,7/21/2021,Provincial Nominee Program,462,734
196,7/8/2021,Canadian Experience Class,4500,369
195,7/7/2021,Provincial Nominee Program,627,760
194,6/24/2021,Canadian Experience Class,6000,357
193,6/23/2021,Provincial Nominee Program,1002,742
192,6/10/2021,Canadian Experience Class,6000,368
191,6/9/2021,Provincial Nominee Program,940,711
190,5/31/2021,Canadian Experience Class,5956,380
189,5/26/2021,Provincial Nominee Program,500,713
188,5/20/2021,Canadian Experience Class,1842,397
187,5/13/2021,Canadian Experience Class,4147,401
186,5/12/2021,Provincial Nominee Program,557,752
185,4/29/2021,Canadian Experience Class,6000,400
184,4/28/2021,Provincial Nominee Program,381,717
183,4/16/2021,Canadian Experience Class,6000,417
182,4/14/2021,Provincial Nominee Program,266,753
181,4/1/2021,Canadian Experience Class,5000,432
180,3/31/2021,Provincial Nominee Program,284,778
179,3/18/2021,Canadian Experience Class,5000,449
178,3/17/2021,Provincial Nominee Program,183,682
177,3/8/2021,Provincial Nominee Program,671,739
176,2/13/2021,Canadian Experience Class,27332,75
175,2/10/2021,Provincial Nominee Program,654,720
174,1/21/2021,Canadian Experience Class,4626,454
173,1/20/2021,Provincial Nominee Program,374,741
172,1/7/2021,Canadian Experience Class,4750,461
171,1/6/2021,Provincial Nominee Program,250,813
170,12/23/2020,No Program Specified,5000,468
169,12/9/2020,No Program Specified,5000,469
168,11/25/2020,No Program Specified,5000,469
167,11/18/2020,No Program Specified,5000,472
166,11/5/2020,No Program Specified,4500,478
165,10/14/2020,No Program Specified,4500,471
164,9/30/2020,No Program Specified,4200,471
163,9/16/2020,No Program Specified,4200,472
162,9/2/2020,No Program Specified,4200,475
161,8/20/2020,Canadian Experience Class,3300,454
160,8/19/2020,Provincial Nominee Program,600,771
159,8/6/2020,Federal Skilled Trades,250,415
158,8/5/2020,No Program Specified,3900,476
157,7/23/2020,Canadian Experience Class,3343,445
156,7/22/2020,Provincial Nominee Program,557,687
155,7/8/2020,No Program Specified,3900,478
154,6/25/2020,Canadian Experience Class,3508,431
153,6/24/2020,Provincial Nominee Program,392,696
152,6/11/2020,Canadian Experience Class,3559,437
151,6/10/2020,Provincial Nominee Program,341,743
150,5/28/2020,Canadian Experience Class,3515,440
149,5/27/2020,Provincial Nominee Program,385,757
148,5/14/2020,Canadian Experience Class,3371,447
147,5/13/2020,Provincial Nominee Program,529,718
146,4/30/2020,Canadian Experience Class,3311,452
145,4/29/2020,Provincial Nominee Program,589,692
144,4/16/2020,Canadian Experience Class,3782,455
143,4/15/2020,Provincial Nominee Program,118,808
142,4/9/2020,Canadian Experience Class,3294,464
141,4/9/2020,Provincial Nominee Program,606,698
140,3/23/2020,Canadian Experience Class,3232,467
139,3/18/2020,Provincial Nominee Program,668,720
138,3/4/2020,No Program Specified,3900,471
137,2/19/2020,No Program Specified,4500,470
136,2/5/2020,No Program Specified,3500,472
135,1/22/2020,No Program Specified,3400,471
134,1/8/2020,No Program Specified,3400,473
133,12/19/2019,No Program Specified,3200,469
132,12/11/2019,No Program Specified,3200,472
131,11/27/2019,No Program Specified,3600,471
130,11/13/2019,No Program Specified,3600,472
129,10/30/2019,No Program Specified,3900,475
128,10/16/2019,Federal Skilled Trades,500,357
127,10/2/2019,No Program Specified,3900,464
126,9/18/2019,No Program Specified,3600,462
125,9/4/2019,No Program Specified,3600,463
124,8/20/2019,No Program Specified,3600,457
123,8/12/2019,No Program Specified,3600,466
122,7/24/2019,No Program Specified,3600,459
121,7/10/2019,No Program Specified,3600,460
120,6/26/2019,No Program Specified,3350,462
119,6/12/2019,No Program Specified,3350,465
118,5/29/2019,No Program Specified,3350,470
117,5/15/2019,Federal Skilled Trades,500,332
116,5/1/2019,No Program Specified,3350,450
115,4/17/2019,No Program Specified,3350,451
114,4/3/2019,No Program Specified,3350,451
113,3/20/2019,No Program Specified,3350,452
112,3/6/2019,No Program Specified,3350,454
111,2/20/2019,No Program Specified,3350,457
110,1/30/2019,No Program Specified,3350,438
109,1/23/2019,No Program Specified,3900,443
108,1/9/2019,No Program Specified,3900,449
107,12/19/2018,No Program Specified,3900,439
106,12/12/2018,No Program Specified,3900,445
105,11/28/2018,No Program Specified,3900,445
104,11/14/2018,No Program Specified,3900,449
103,10/29/2018,No Program Specified,3900,442
102,10/15/2018,No Program Specified,3900,440
101,10/3/2018,No Program Specified,3900,445
100,9/24/2018,Federal Skilled Trades,400,284
99,9/19/2018,No Program Specified,3500,441
98,9/5/2018,No Program Specified,3900,440
97,8/22/2018,No Program Specified,3750,440
96,8/8/2018,No Program Specified,3750,440
95,7/25/2018,No Program Specified,3750,441
94,7/11/2018,No Program Specified,3750,442
93,6/25/2018,No Program Specified,3750,442
92,6/13/2018,No Program Specified,3750,451
91b,5/30/2018,Provincial Nominee Program,200,902
91a,5/30/2018,Federal Skilled Trades,500,288
90,5/23/2018,No Program Specified,3500,440
89,5/9/2018,No Program Specified,3500,441
88,4/25/2018,No Program Specified,3500,441
87,4/11/2018,No Program Specified,3500,444
86,3/26/2018,No Program Specified,3000,446
85,3/14/2018,No Program Specified,3000,456
84,2/21/2018,No Program Specified,3000,442
83,2/7/2018,No Program Specified,3000,442
82,1/24/2018,No Program Specified,2750,444
81,1/10/2018,No Program Specified,2750,446
80,12/20/2017,No Program Specified,2750,446
79,12/6/2017,No Program Specified,2750,452
78,11/15/2017,No Program Specified,2750,439
77,11/8/2017,No Program Specified,2000,458
76,11/1/2017,Federal Skilled Trades,505,241
75,11/1/2017,Provincial Nominee Program,290,673
74,10/18/2017,No Program Specified,2757,436
73,10/4/2017,No Program Specified,2801,438
72,9/20/2017,No Program Specified,2871,433
71,9/6/2017,No Program Specified,2772,435
70,8/23/2017,No Program Specified,3035,434
69,8/9/2017,No Program Specified,2991,433
68,8/2/2017,No Program Specified,3264,441
67,7/12/2017,No Program Specified,3202,440
66,6/28/2017,No Program Specified,3409,449
65,5/31/2017,No Program Specified,3877,413
64,5/26/2017,Federal Skilled Trades,400,199
63,5/26/2017,Provincial Nominee Program,143,775
62,5/17/2017,No Program Specified,3687,415
61,5/4/2017,No Program Specified,3796,423
60,4/19/2017,No Program Specified,3665,415
59,4/12/2017,No Program Specified,3923,423
58,4/5/2017,No Program Specified,3753,431
57,3/24/2017,No Program Specified,3749,441
56,3/1/2017,No Program Specified,3884,434
55,2/22/2017,No Program Specified,3611,441
54,2/8/2017,No Program Specified,3644,447
53,1/25/2017,No Program Specified,3508,453
52,1/11/2017,No Program Specified,3334,459
51,1/4/2017,No Program Specified,2902,468
50,12/22/2016,No Program Specified,2878,475
49,12/16/2016,No Program Specified,1936,497
48,11/30/2016,Provincial Nominee Program,559,786
47,11/16/2016,No Program Specified,2427,470
46,11/2/2016,No Program Specified,2080,472
45,10/19/2016,No Program Specified,1804,475
44,10/12/2016,No Program Specified,1518,484
43,9/21/2016,No Program Specified,1288,483
42,9/7/2016,No Program Specified,1000,491
41,8/24/2016,No Program Specified,750,538
40,8/10/2016,No Program Specified,754,490
39,7/27/2016,No Program Specified,755,488
38,7/13/2016,No Program Specified,747,482
37,6/29/2016,No Program Specified,773,482
36,6/15/2016,No Program Specified,752,488
35,6/1/2016,No Program Specified,762,483
34,5/18/2016,No Program Specified,763,484
33,5/6/2016,No Program Specified,799,534
32,4/20/2016,No Program Specified,1018,468
31,4/6/2016,No Program Specified,954,470
30,3/23/2016,No Program Specified,1014,470
29,3/9/2016,No Program Specified,1013,473
28,2/24/2016,No Program Specified,1484,453
27,2/10/2016,No Program Specified,1505,459
26,1/27/2016,No Program Specified,1468,457
25,1/13/2016,No Program Specified,1518,453
24,1/6/2016,No Program Specified,1463,461
23,12/18/2015,No Program Specified,1503,460
22,12/4/2015,No Program Specified,1451,461
21,11/27/2015,No Program Specified,1559,472
20,11/13/2015,No Program Specified,1506,484
19,10/23/2015,No Program Specified,1502,489
18,10/2/2015,No Program Specified,1530,450
17,9/18/2015,No Program Specified,1545,450
16,9/8/2015,No Program Specified,1517,459
15,8/21/2015,No Program Specified,1523,456
14,8/7/2015,No Program Specified,1402,471
13,7/17/2015,No Program Specified,1581,451
12,7/10/2015,No Program Specified,1516,463
11,6/26/2015,No Program Specified,1575,469
10,6/12/2015,No Program Specified,1501,482
9,5/22/2015,No Program Specified,1361,755
8,4/17/2015,No Program Specified,715,453
7,4/10/2015,No Program Specified,925,469
6,3/27/2015,No Program Specified,1637,453
5,3/20/2015,No Program Specified,1620,481
4,2/27/2015,No Program Specified,1187,735
3,2/20/2015,Canadian Experience Class,849,808
2,2/7/2015,No Program Specified,779,818
1,1/31/2015,No Program Specified,779,886
